id,어코드,노트명,이미지URL
70,Earthy/Smoky,트러플,https://fimgs.net/mdimg/sastojci/t.335.jpg?1733161264
71,Earthy/Smoky,패출리,https://fimgs.net/mdimg/sastojci/t.34.jpg?1733161264
72,Floral,가드니아,https://fimgs.net/mdimg/sastojci/t.19.jpg?1733161259
73,Floral,귤 꽃,https://fimgs.net/mdimg/sastojci/t.353.jpg?1733161264
74,Floral,다마스콘,https://fimgs.net/mdimg/sastojci/t.1121.jpg?1733161258
75,Floral,다투라,https://fimgs.net/mdimg/sastojci/t.378.jpg?1733161264
76,Floral,데이지,https://fimgs.net/mdimg/sastojci/t.468.jpg?1733161265
77,Floral,동백,https://fimgs.net/mdimg/sastojci/t.254.jpg?1733161261
78,Floral,등나무,https://fimgs.net/mdimg/sastojci/t.245.jpg?1733161261
79,Floral,라일락,https://fimgs.net/mdimg/sastojci/t.152.jpg?1733161259
80,Floral,라임 (린덴) 꽃,https://fimgs.net/mdimg/sastojci/t.288.jpg?1733161262
81,Floral,랑군 크리퍼,https://fimgs.net/mdimg/sastojci/t.819.jpg?1733161266
82,Floral,레더우드,https://fimgs.net/mdimg/sastojci/t.766.jpg?1733161266
83,Floral,레몬 꽃,https://fimgs.net/mdimg/sastojci/t.281.jpg?1733161262
84,Floral,로즈,https://fimgs.net/mdimg/sastojci/t.105.jpg?1733161258
85,Floral,릴리,https://fimgs.net/mdimg/sastojci/t.157.jpg?1733161259
86,Floral,마호니알,https://fimgs.net/mdimg/sastojci/t.990.jpg?1733161266
87,Floral,망고 꽃,https://fimgs.net/mdimg/sastojci/t.380.jpg?1733161264
88,Floral,머틀,https://fimgs.net/mdimg/sastojci/t.328.jpg?1733161263
89,Floral,메리골드,https://fimgs.net/mdimg/sastojci/t.153.jpg?1733161259
90,Floral,모란,https://fimgs.net/mdimg/sastojci/t.155.jpg?1733161259
91,Floral,목련,https://fimgs.net/mdimg/sastojci/t.147.jpg?1733161259
92,Floral,목서,https://fimgs.net/mdimg/sastojci/t.10.jpg?1733161258
93,Floral,목화 꽃,https://fimgs.net/mdimg/sastojci/t.301.jpg?1733161262
94,Floral,물 히아신스,https://fimgs.net/mdimg/sastojci/t.216.jpg?1733161260
95,Floral,물망초,https://fimgs.net/mdimg/sastojci/t.421.jpg?1733161265
96,Floral,미뇨네트,https://fimgs.net/mdimg/sastojci/t.226.jpg?1733161261
97,Floral,미모사,https://fimgs.net/mdimg/sastojci/t.167.jpg?1733161259
98,Floral,바나나 꽃,https://fimgs.net/mdimg/sastojci/t.957.jpg?1733161266
99,Floral,바이올렛,https://fimgs.net/mdimg/sastojci/t.116.jpg?1733161258
100,Floral,밤에 피는 재스민,https://fimgs.net/mdimg/sastojci/t.738.jpg?1733161266
101,Floral,밤의 여인 꽃,https://fimgs.net/mdimg/sastojci/t.750.jpg?1733161266
102,Floral,배 꽃,https://fimgs.net/mdimg/sastojci/t.526.jpg?1733161265
103,Floral,벚꽃,https://fimgs.net/mdimg/sastojci/t.298.jpg?1763745551
104,Floral,베르가못 꽃,https://fimgs.net/mdimg/sastojci/t.680.jpg?1733161266
105,Floral,보로니아,https://fimgs.net/mdimg/sastojci/t.118.jpg?1733161258
106,Floral,복숭아 꽃,https://fimgs.net/mdimg/sastojci/t.239.jpg?1733161261
107,Floral,블랙 커런트 꽃,https://fimgs.net/mdimg/sastojci/t.133.jpg?1733161258
108,Floral,블루벨,https://fimgs.net/mdimg/sastojci/t.1563.jpg?1733161259
109,Floral,사과 꽃,https://fimgs.net/mdimg/sastojci/t.285.jpg?1733161262
110,Floral,산사나무,https://fimgs.net/mdimg/sastojci/t.89.jpg?1733161266
111,Floral,살구 꽃,https://fimgs.net/mdimg/sastojci/t.365.jpg?1733161264
112,Floral,수국,https://fimgs.net/mdimg/sastojci/t.271.jpg?1733161262
113,Floral,수련,https://fimgs.net/mdimg/sastojci/t.30.jpg?1733161262
114,Floral,수선화,https://fimgs.net/mdimg/sastojci/t.18.jpg?1733161259
115,Floral,스위트 피,https://fimgs.net/mdimg/sastojci/t.92.jpg?1733161266
116,Floral,스테파노티스,https://fimgs.net/mdimg/sastojci/t.111.jpg?1733161258
117,Floral,시스투스 인카누스,https://fimgs.net/mdimg/sastojci/t.1165.jpg?1733161258
118,Floral,시클라멘,https://fimgs.net/mdimg/sastojci/t.166.jpg?1733161259
119,Floral,아마릴리스,https://fimgs.net/mdimg/sastojci/t.279.jpg?1733161262
120,Floral,아몬드 꽃,https://fimgs.net/mdimg/sastojci/t.131.jpg?1733161258
121,Floral,아이리스,https://fimgs.net/mdimg/sastojci/t.11.jpg?1733161258
122,Floral,아프리카 메리골드,https://fimgs.net/mdimg/sastojci/t.1713.jpg?1746848322
123,Floral,야생화,https://fimgs.net/mdimg/sastojci/t.379.jpg?1733161264
124,Floral,양귀비,https://fimgs.net/mdimg/sastojci/t.339.jpg?1733161264
