향수ID,향수명,브랜드명,노트명,구분
42828,Sel Santal,Clean,바이올렛,mid
42828,Sel Santal,Clean,휘핑 크림,mid
42828,Sel Santal,Clean,아이리스,mid
42828,Sel Santal,Clean,헤이즐넛,mid
42828,Sel Santal,Clean,샌달우드,base
42828,Sel Santal,Clean,머스크,base
42828,Sel Santal,Clean,앰버,base
42828,Sel Santal,Clean,스티락스,base
42828,Sel Santal,Clean,로즈,base
23032,Cool Cotton,Clean,레몬 껍질,top
23032,Cool Cotton,Clean,베르가못,top
23032,Cool Cotton,Clean,그린 애플,top
23032,Cool Cotton,Clean,목화 꽃,mid
23032,Cool Cotton,Clean,민트,mid
23032,Cool Cotton,Clean,미모사,mid
23032,Cool Cotton,Clean,화이트 머스크,base
23032,Cool Cotton,Clean,복숭아,base
23032,Cool Cotton,Clean,앰버,base
3021,Shower Fresh,Clean,레몬,top
3021,Shower Fresh,Clean,만다린 오렌지,top
3021,Shower Fresh,Clean,오렌지,top
