evidence_code,severity,message_template
HIGH_MATRIX_COMPATIBILITY,reason,{accordA}와 {accordB}의 궁합 점수가 높아 두 향의 연결이 자연스럽습니다.
LOW_MATRIX_COMPATIBILITY,warning,{accordA}와 {accordB}의 연결 점수가 낮아 조합이 선명하게 충돌할 수 있습니다.
BASE_ANCHOR_PRESENT,reason,{perfumeName}의 {accord} 계열이 조합에 안정적인 깊이감을 더합니다.
TOP_LIFT_PRESENT,reason,{perfumeName}의 {accord} 계열이 조합의 인상을 밝고 산뜻하게 만듭니다.
SWEET_OVERLOAD,warning,단 향이 겹쳐 답답하게 느껴질 수 있어 산뜻한 조합을 원한다면 맞지 않을 수 있습니다.
DARK_OVERLOAD,warning,묵직한 향이 겹쳐 어둡고 무겁게 느껴질 수 있습니다.
FRESH_WITHOUT_BASE,warning,상쾌한 향이 중심인 조합이라 지속감은 가볍게 느껴질 수 있습니다.
COLOR_PAIR_SELECTED,reason,{accordA}와 {accordB}의 무드를 {colorName} 컬러로 표현했습니다.
